file,label,dist_centroid,valence,arousal,familiarity,title,composer,film,year,genre,director
acrosstheoceanthomasnewmanelementalsample2mp3.mp3,0,1.1686539430630656,0.34148,0.58555,familiar-feeling-not-familiar,Across The Ocean,Thomas Newman,Elemental,2023.0,Animation Adventure Comedy,Peter Sohn
wontgetfooledagainthewhotopgunmavericksample2mp3.mp3,0,1.2510661877602252,0.81568,0.7175,definitely-familiar,Won't Get Fooled Again,Pete Townsend / The Who,Top Gun: Maverick,2022.0,Action Drama,Joseph Kosinski
summermontagemadelinelalalandjustinhurwitzsample1mp3.mp3,0,1.3785360505654636,0.95531,0.94583,definitely-familiar,Summer Montage / Madeline,Justin Hurwitz,La La Land,2016.0,Comedy Drama Music,Damien Chazelle
whiplashhanklevysample2mp3.mp3,0,1.4584345039040023,0.33445,0.35555,not-sure,Whiplash,Hank Levy,Whiplash,2014.0,Drama Music,Damien Chazelle
upisdownhanszimmerpiratesofthecaribbeanatworldsendsample2mp3.mp3,0,1.4829379192159833,0.3625,0.02602,never-heard-this,Up Is Down,Hans Zimmer,Pirates of the Caribbean: At World's End,2007.0,Action Adventure Fantasy,Gore Verbinski
sparkleyournameradwimpssample2mp3.mp3,0,1.51705685405403,0.34648,0.80055,definitely-familiar,Sparkle,Radwimps,Your Name.,2016.0,Animation Drama Fantasy,Makoto Shinkai
thatslifefranksinatrajokersample1mp3.mp3,0,1.529703433190342,-0.00525,-0.0155,never-heard-this,That's Life,Frank Sinatra / Dean Kay & Kelly Gordon,Joker,2019.0,Crime Drama Thriller,Todd Phillips
drumdronewhiplashjustinhurwitzsample1mp3.mp3,0,1.560490816454146,0.29449000000000003,0.16477999999999998,never-heard-this,Drum & Drone,Justin Hurwitz,Whiplash,2014.0,Drama Music,Damien Chazelle
drivemycareikoishibashidrivemycarsample2mp3.mp3,0,1.5732690279749406,0.1075,0.59436,not-sure,Drive My Car (the important thing is to work),Eiko Ishibashi,Drive my Car,2021.0,Drama,Ryûsuke Hamaguchi
thedodespairhangoverecstasyrawsample2mp3.mp3,0,1.5913164981861383,0.092245,0.07451,never-heard-this,"Despair, Hangover & Ecstasy","The Dø, Olivia Merilahti, Dan Levy",Raw,2016.0,Drama Horror,Julia Ducournau
singaporehanszimmerpiratesofthecaribbeanatworldsendsample2mp3.mp3,0,1.600234894436344,0.58949,0.29578,familiar-feeling-not-familiar,Singapore,Hans Zimmer,Pirates of the Caribbean: At World's End,2007.0,Action Adventure Fantasy,Gore Verbinski
toooldtodieyoungbrotherdegedjangounchainedsample1mp3.mp3,0,1.615919692249632,0.558,0.03022,never-heard-this,Too Old To Die Young,Brother Dege/ Dege Legg,Django Unchained,2012.0,Drama Western,Quentin Tarantino
whatthismissionsaboutda5bloodsterenceblanchardsample2mp3.mp3,0,1.6196998490389667,0.53365,0.36755,never-heard-this,What This Mission's About,Terence Blanchard,Da 5 Bloods,2020.0,Adventure Drama War,Spike Lee
dickonhinchliffeledathelostdaughtersample1mp3.mp3,0,1.6226037033373055,0.17994,0.17691,never-heard-this,Leda,Dickon Hinchliffe,The Lost Daughter,2021.0,Drama,Maggie Gyllenhaal
whiplashoverturejustinhurwitzsample1mp3.mp3,0,1.6366608743960547,0.70348,0.39981,familiar-feeling-not-familiar,Overture,Justin Hurwitz,Whiplash,2014.0,Drama Music,Damien Chazelle
sparkleyournameradwimpssample1mp3.mp3,0,1.7195226275091848,0.395,0.315,never-heard-this,Sparkle,Radwimps,Your Name.,2016.0,Animation Drama Fantasy,Makoto Shinkai
sikilizakwawahengamichaelabelsgetoutsample1mp3.mp3,0,1.7586509689006307,0.22932,-0.22099,never-heard-this,Sikiliza Kwa Wahenga,Michael Abels,Get Out,2017.0,Horror Mystery Thriller,Jordan Peele
lamusiquedufuturmoncoeurpetitemamanjeanbaptistedelaubierparaonecelinesciammasample2mp3.mp3,0,1.789022662256906,0.53818,0.44922000000000006,not-sure,La Musique du Futur - Mon Coeur,"Jean-Baptiste de Laubier, Para One, Céline Sciamma",Petite Maman,2021.0,Drama Fantasy,Céline Sciamma
startawarthenationalwarriorsample1mp3.mp3,0,1.7985499882153728,-0.28766,0.26672,familiar-feeling-not-familiar,Start A War,The National/Matthew Berninger/Aaron Dessner,Warrior,2011.0,Action Drama Sport,Gavin O'Connor
trentreznorandatticusrosspursuitterrysworldsoulsample1mp3.mp3,0,1.80981798333567,0.68723,0.565545,not-sure,Pursuit/Terry's World,"Trent Reznor, Atticus Ross",Soul,2020.0,Animation Adventure Comedy,"Pete Docter, Kemp Powers"
themazepatrickdoyleharrypotterandthegobletoffiresample2mp3.mp3,0,1.8559118515794468,0.61875,0.48,familiar,The Maze,Patrick Doyle,Harry Potter and the Goblet of Fire,2005.0,Adventure Family Fantasy,Mike Newell
